predictions,coordinates,label,pretrained_model,resolution,units
0,"[2464, 0, 2688, 224]",,,1,baseline
0,"[5152, 0, 5376, 224]",,,1,baseline
0,"[8960, 0, 9184, 224]",,,1,baseline
0,"[13440, 0, 13664, 224]",,,1,baseline
0,"[15456, 0, 15680, 224]",,,1,baseline
0,"[1568, 224, 1792, 448]",,,1,baseline
0,"[5152, 224, 5376, 448]",,,1,baseline
0,"[8736, 224, 8960, 448]",,,1,baseline
0,"[22624, 224, 22848, 448]",,,1,baseline
0,"[23968, 224, 24192, 448]",,,1,baseline
0,"[448, 672, 672, 896]",,,1,baseline
0,"[3360, 672, 3584, 896]",,,1,baseline
0,"[6496, 672, 6720, 896]",,,1,baseline
0,"[7392, 672, 7616, 896]",,,1,baseline
0,"[7616, 672, 7840, 896]",,,1,baseline
0,"[7840, 672, 8064, 896]",,,1,baseline
0,"[8064, 672, 8288, 896]",,,1,baseline
0,"[8288, 672, 8512, 896]",,,1,baseline
0,"[8512, 672, 8736, 896]",,,1,baseline
0,"[19712, 672, 19936, 896]",,,1,baseline
0,"[224, 896, 448, 1120]",,,1,baseline
0,"[3584, 896, 3808, 1120]",,,1,baseline
0,"[4032, 896, 4256, 1120]",,,1,baseline
0,"[5376, 896, 5600, 1120]",,,1,baseline
0,"[5600, 896, 5824, 1120]",,,1,baseline
0,"[6272, 896, 6496, 1120]",,,1,baseline
0,"[6496, 896, 6720, 1120]",,,1,baseline
0,"[6720, 896, 6944, 1120]",,,1,baseline
0,"[7168, 896, 7392, 1120]",,,1,baseline
0,"[19712, 896, 19936, 1120]",,,1,baseline
0,"[24864, 896, 25088, 1120]",,,1,baseline
0,"[2240, 1120, 2464, 1344]",,,1,baseline
0,"[4928, 1120, 5152, 1344]",,,1,baseline
0,"[5600, 1120, 5824, 1344]",,,1,baseline
0,"[6720, 1120, 6944, 1344]",,,1,baseline
0,"[224, 1344, 448, 1568]",,,1,baseline
0,"[448, 1344, 672, 1568]",,,1,baseline
0,"[672, 1344, 896, 1568]",,,1,baseline
0,"[896, 1344, 1120, 1568]",,,1,baseline
0,"[1120, 1344, 1344, 1568]",,,1,baseline
0,"[2240, 1344, 2464, 1568]",,,1,baseline
0,"[4480, 1344, 4704, 1568]",,,1,baseline
0,"[9632, 1344, 9856, 1568]",,,1,baseline
0,"[10752, 1344, 10976, 1568]",,,1,baseline
0,"[10976, 1344, 11200, 1568]",,,1,baseline
0,"[672, 1568, 896, 1792]",,,1,baseline
0,"[5152, 1568, 5376, 1792]",,,1,baseline
0,"[8736, 1568, 8960, 1792]",,,1,baseline
0,"[17472, 1568, 17696, 1792]",,,1,baseline
0,"[18816, 1568, 19040, 1792]",,,1,baseline
0,"[5376, 1792, 5600, 2016]",,,1,baseline
0,"[5600, 1792, 5824, 2016]",,,1,baseline
0,"[8960, 1792, 9184, 2016]",,,1,baseline
0,"[9856, 1792, 10080, 2016]",,,1,baseline
0,"[12096, 1792, 12320, 2016]",,,1,baseline
0,"[17920, 1792, 18144, 2016]",,,1,baseline
0,"[1120, 2016, 1344, 2240]",,,1,baseline
0,"[1344, 2016, 1568, 2240]",,,1,baseline
0,"[5152, 2016, 5376, 2240]",,,1,baseline
0,"[6720, 2016, 6944, 2240]",,,1,baseline
2,"[6944, 2016, 7168, 2240]",,,1,baseline
2,"[7168, 2016, 7392, 2240]",,,1,baseline
5,"[7392, 2016, 7616, 2240]",,,1,baseline
0,"[7616, 2016, 7840, 2240]",,,1,baseline
0,"[9632, 2016, 9856, 2240]",,,1,baseline
5,"[9856, 2016, 10080, 2240]",,,1,baseline
0,"[10080, 2016, 10304, 2240]",,,1,baseline
0,"[11648, 2016, 11872, 2240]",,,1,baseline
2,"[6720, 2240, 6944, 2464]",,,1,baseline
2,"[6944, 2240, 7168, 2464]",,,1,baseline
3,"[7168, 2240, 7392, 2464]",,,1,baseline
5,"[7392, 2240, 7616, 2464]",,,1,baseline
1,"[7616, 2240, 7840, 2464]",,,1,baseline
0,"[7840, 2240, 8064, 2464]",,,1,baseline
0,"[8512, 2240, 8736, 2464]",,,1,baseline
5,"[8736, 2240, 8960, 2464]",,,1,baseline
5,"[8960, 2240, 9184, 2464]",,,1,baseline
5,"[9184, 2240, 9408, 2464]",,,1,baseline
5,"[9408, 2240, 9632, 2464]",,,1,baseline
5,"[9632, 2240, 9856, 2464]",,,1,baseline
2,"[9856, 2240, 10080, 2464]",,,1,baseline
2,"[10080, 2240, 10304, 2464]",,,1,baseline
0,"[10304, 2240, 10528, 2464]",,,1,baseline
0,"[2912, 2464, 3136, 2688]",,,1,baseline
0,"[4480, 2464, 4704, 2688]",,,1,baseline
0,"[5152, 2464, 5376, 2688]",,,1,baseline
0,"[5376, 2464, 5600, 2688]",,,1,baseline
0,"[6496, 2464, 6720, 2688]",,,1,baseline
2,"[6720, 2464, 6944, 2688]",,,1,baseline
1,"[6944, 2464, 7168, 2688]",,,1,baseline
3,"[7168, 2464, 7392, 2688]",,,1,baseline
3,"[7392, 2464, 7616, 2688]",,,1,baseline
2,"[7616, 2464, 7840, 2688]",,,1,baseline
5,"[7840, 2464, 8064, 2688]",,,1,baseline
5,"[8064, 2464, 8288, 2688]",,,1,baseline
5,"[8288, 2464, 8512, 2688]",,,1,baseline
5,"[8512, 2464, 8736, 2688]",,,1,baseline
5,"[8736, 2464, 8960, 2688]",,,1,baseline
5,"[8960, 2464, 9184, 2688]",,,1,baseline
5,"[9184, 2464, 9408, 2688]",,,1,baseline
5,"[9408, 2464, 9632, 2688]",,,1,baseline
2,"[9632, 2464, 9856, 2688]",,,1,baseline
3,"[9856, 2464, 10080, 2688]",,,1,baseline
3,"[10080, 2464, 10304, 2688]",,,1,baseline
2,"[10304, 2464, 10528, 2688]",,,1,baseline
2,"[10528, 2464, 10752, 2688]",,,1,baseline
0,"[10752, 2464, 10976, 2688]",,,1,baseline
0,"[10976, 2464, 11200, 2688]",,,1,baseline
0,"[11872, 2464, 12096, 2688]",,,1,baseline
0,"[12096, 2464, 12320, 2688]",,,1,baseline
0,"[12320, 2464, 12544, 2688]",,,1,baseline
0,"[21952, 2464, 22176, 2688]",,,1,baseline
0,"[2016, 2688, 2240, 2912]",,,1,baseline
0,"[2912, 2688, 3136, 2912]",,,1,baseline
0,"[6272, 2688, 6496, 2912]",,,1,baseline
1,"[6496, 2688, 6720, 2912]",,,1,baseline
2,"[6720, 2688, 6944, 2912]",,,1,baseline
2,"[6944, 2688, 7168, 2912]",,,1,baseline
2,"[7168, 2688, 7392, 2912]",,,1,baseline
5,"[7392, 2688, 7616, 2912]",,,1,baseline
2,"[7616, 2688, 7840, 2912]",,,1,baseline
5,"[7840, 2688, 8064, 2912]",,,1,baseline
5,"[8064, 2688, 8288, 2912]",,,1,baseline
5,"[8288, 2688, 8512, 2912]",,,1,baseline
5,"[8512, 2688, 8736, 2912]",,,1,baseline
1,"[8736, 2688, 8960, 2912]",,,1,baseline
5,"[8960, 2688, 9184, 2912]",,,1,baseline
1,"[9184, 2688, 9408, 2912]",,,1,baseline
1,"[9408, 2688, 9632, 2912]",,,1,baseline
3,"[9632, 2688, 9856, 2912]",,,1,baseline
3,"[9856, 2688, 10080, 2912]",,,1,baseline
5,"[10080, 2688, 10304, 2912]",,,1,baseline
5,"[10304, 2688, 10528, 2912]",,,1,baseline
2,"[10528, 2688, 10752, 2912]",,,1,baseline
2,"[10752, 2688, 10976, 2912]",,,1,baseline
2,"[10976, 2688, 11200, 2912]",,,1,baseline
5,"[11200, 2688, 11424, 2912]",,,1,baseline
0,"[11424, 2688, 11648, 2912]",,,1,baseline
0,"[11648, 2688, 11872, 2912]",,,1,baseline
2,"[11872, 2688, 12096, 2912]",,,1,baseline
1,"[12096, 2688, 12320, 2912]",,,1,baseline
1,"[12320, 2688, 12544, 2912]",,,1,baseline
2,"[12544, 2688, 12768, 2912]",,,1,baseline
0,"[12768, 2688, 12992, 2912]",,,1,baseline
0,"[12992, 2688, 13216, 2912]",,,1,baseline
0,"[13216, 2688, 13440, 2912]",,,1,baseline
5,"[13440, 2688, 13664, 2912]",,,1,baseline
